GRAPHEME	NAME	BIPA	SOUNDTYPE	GENERATED	ALIAS	NORMALIZED	DATASET	DATATYPE	FREQUENCY	URL	FEATURES	IMAGE	SOUND	NOTE
ɔaː	from rounded open-mid back to long unrounded open front diphthong	ɔaː	diphthong	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɔaː				
ɪ̞	lowered unrounded near-close near-front vowel	ɪ̞	vowel	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɪ̞				
d̪̥	devoiced voiced dental stop consonant	d̪̥	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=d̪̥				
t̪s̪ʰ	aspirated voiceless dental affricate consonant	ts̪ʰ	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=t̪s̪ʰ				
ɮʲ	palatalized voiced alveolar lateral fricative consonant	ɮʲ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɮʲ				
d̥ʲ	palatalized devoiced voiced alveolar stop consonant	d̥ʲ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=d̥ʲ				
tɬʰ	aspirated voiceless alveolar lateral affricate consonant	tɬʰ	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=tɬʰ				
tɬʼ	voiceless alveolar ejective lateral affricate consonant	tɬʼ	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=tɬʼ				
tɬ’	voiceless alveolar ejective lateral affricate consonant	tɬʼ	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=tɬ’				
ʢ	voiced epiglottal fricative consonant	ʢ	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ʢ				
tʷʰ	labialized aspirated voiceless alveolar stop consonant	tʷʰ	consonant		+		eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=tʷʰ				
tʰʷ	labialized aspirated voiceless alveolar stop consonant	tʷʰ	consonant		+		eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=tʰʷ				
tsʰʷ	labialized aspirated voiceless alveolar sibilant affricate consonant	tsʷʰ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=tsʰʷ				
tʃʷʰ	labialized aspirated voiceless post-alveolar sibilant affricate consonant	tʃʷʰ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=tʃʷʰ				
tʃʰʷ	labialized aspirated voiceless post-alveolar sibilant affricate consonant	tʃʷʰ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=tʃʰʷ				
tɬʰʷ	labialized aspirated voiceless alveolar lateral affricate consonant	tɬʷʰ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=tɬʰʷ				
kʷʰ	labialized aspirated voiceless velar stop consonant	kʷʰ	consonant		+		eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=kʷʰ				
kʰʷ	labialized aspirated voiceless velar stop consonant	kʷʰ	consonant		+		eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=kʰʷ				
qʷʰ	labialized aspirated voiceless uvular stop consonant	qʷʰ	consonant		+		eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=qʷʰ				
qʰʷ	labialized aspirated voiceless uvular stop consonant	qʷʰ	consonant		+		eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=qʰʷ				
tɬʼʷ	labialized voiceless alveolar ejective lateral affricate consonant	tɬ’ʷ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=tɬʼʷ				
ʢʷ	labialized voiced epiglottal fricative consonant	ʢʷ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ʢʷ				
ɬʷ	labialized voiceless alveolar lateral fricative consonant	ɬʷ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɬʷ				
ʜʷ	labialized voiceless epiglottal fricative consonant	ʜʷ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ʜʷ				
hʷ	labialized voiceless glottal fricative consonant	hʷ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=hʷ				
ⁿp	pre-nasalized voiceless bilabial stop consonant	ⁿp	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ⁿp				
ⁿt	pre-nasalized voiceless alveolar stop consonant	ⁿt	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ⁿt				
ⁿc	pre-nasalized voiceless palatal stop consonant	ⁿc	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ⁿc				
ⁿk	pre-nasalized voiceless velar stop consonant	ⁿk	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ⁿk				
ⁿq	pre-nasalized voiceless uvular stop consonant	ⁿq	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ⁿq				
ⁿqʰ	pre-nasalized aspirated voiceless uvular stop consonant	ⁿqʰ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ⁿqʰ				
ⁿts	from pre-nasalized voiceless alveolar stop to voiceless alveolar sibilant fricative cluster	ⁿts	cluster	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ⁿts				
ⁿtʃ	pre-nasalized voiceless post-alveolar sibilant affricate consonant	ⁿtʃ	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ⁿtʃ				
ⁿʈʂ	pre-nasalized voiceless retroflex sibilant affricate consonant	ⁿʈʂ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ⁿʈʂ				
bː	long voiced bilabial stop consonant	bː	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=bː				
dː	long voiced alveolar stop consonant	dː	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=dː				
gː	long voiced velar stop consonant	gː	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=gː				
tsː	long voiceless alveolar sibilant affricate consonant	tsː	consonant		+		eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=tsː				
tɬː	long voiceless alveolar lateral affricate consonant	tɬː	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=tɬː				
tsʼː	long voiceless alveolar ejective sibilant affricate consonant	ts’ː	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=tsʼː				
tsːʼ	long voiceless alveolar ejective sibilant affricate consonant	ts’ː	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=tsːʼ				
tʃʼː	long voiceless post-alveolar ejective sibilant affricate consonant	tʃʼː	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=tʃʼː				
tʃːʼ	long voiceless post-alveolar ejective sibilant affricate consonant	tʃʼː	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=tʃːʼ				
tɬʼː	long voiceless alveolar ejective lateral affricate consonant	tɬ’ː	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=tɬʼː				
tɬːʼ	long voiceless alveolar ejective lateral affricate consonant	tɬ’ː	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=tɬːʼ				
kʼː	long voiceless velar ejective stop consonant	k’ː	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=kʼː				
qʼː	long voiceless uvular ejective stop consonant	q’ː	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=qʼː				
ɬː	long voiceless alveolar lateral fricative consonant	ɬː	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɬː				
gːʷ	labialized long voiced velar stop consonant	gʷː	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=gːʷ				
kʼːʷ	labialized long voiceless velar ejective stop consonant	k’ʷː	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=kʼːʷ				
ɢʷ	labialized voiced uvular stop consonant	ɢʷ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɢʷ				
qʼːʷ	labialized long voiceless uvular ejective stop consonant	q’ʷː	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=qʼːʷ				
ʔ̃	nasalized voiceless glottal stop consonant	ʔ̃	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ʔ̃				
t̪ʲ	palatalized voiceless dental stop consonant	t̪ʲ	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=t̪ʲ				
d̪ʲ	palatalized voiced dental stop consonant	d̪ʲ	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=d̪ʲ				
hʲ	palatalized voiceless glottal fricative consonant	hʲ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=hʲ				
ŋ̊	devoiced voiced velar nasal consonant	ŋ̊	consonant		+		eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ŋ̊				
ŋ̥	devoiced voiced velar nasal consonant	ŋ̊	consonant		+		eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ŋ̥				
ʊi	from rounded near-close near-back to unrounded close front diphthong	ʊi	diphthong	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ʊi				
əi	from unrounded mid central to unrounded close front diphthong	əi	diphthong	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=əi				
ɪu	from unrounded near-close near-front to rounded close back diphthong	ɪu	diphthong	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɪu				
d̪ʰ	aspirated voiced dental stop consonant	d̪ʰ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=d̪ʰ				
ʈ̻ʂ̻	from voiceless laminal retroflex stop to voiceless laminal retroflex sibilant fricative cluster	ʈ̻ʂ̻	cluster	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ʈ̻ʂ̻				
ɖ̻ʐ̻	from voiced laminal retroflex stop to voiced laminal retroflex sibilant fricative cluster	ɖ̻ʐ̻	cluster	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɖ̻ʐ̻				
ʂ̻	voiceless laminal retroflex sibilant fricative consonant	ʂ̻	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ʂ̻				
ʐ̻	voiced laminal retroflex sibilant fricative consonant	ʐ̻	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ʐ̻				
ɘ̟	advanced unrounded close-mid central vowel	ɘ̟	vowel	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɘ̟				
ũ̯	non-syllabic nasalized rounded close back vowel	ũ̯	vowel	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ũ̯				
ĩ̯	non-syllabic nasalized unrounded close front vowel	ĩ̯	vowel	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ĩ̯				
d̺	voiced apical alveolar stop consonant	d̺	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=d̺				
iˑ	mid-long unrounded close front vowel	iˑ	vowel				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=iˑ				
ɛu̯	from unrounded open-mid front to non-syllabic rounded close back diphthong	ɛu̯	diphthong	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɛu̯				
rː	long voiced alveolar trill consonant	rː	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=rː				
t̺ʃ̺	from voiceless apical alveolar stop to voiceless apical post-alveolar sibilant fricative cluster	t̺ʃ̺	cluster	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=t̺ʃ̺				
d̺ʒ̺	from voiced apical alveolar stop to voiced apical post-alveolar sibilant fricative cluster	d̺ʒ̺	cluster	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=d̺ʒ̺				
ʃ̺	voiceless apical post-alveolar sibilant fricative consonant	ʃ̺	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ʃ̺				
ʒ̺	voiced apical post-alveolar sibilant fricative consonant	ʒ̺	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ʒ̺				
i̞	lowered unrounded close front vowel	i̞	vowel	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=i̞				
u̞	lowered rounded close back vowel	u̞	vowel	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=u̞				
i̞ː	long lowered unrounded close front vowel	i̞ː	vowel	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=i̞ː				
u̞ː	long lowered rounded close back vowel	u̞ː	vowel	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=u̞ː				
ɪ̯ɔ	from non-syllabic unrounded near-close near-front to rounded open-mid back diphthong	ɪ̯ɔ	diphthong	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɪ̯ɔ				
ɪ̯u̞	from non-syllabic unrounded near-close near-front to lowered rounded close back diphthong	ɪ̯u̞	diphthong	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɪ̯u̞				
ʊ̯ɔ	from non-syllabic rounded near-close near-back to rounded open-mid back diphthong	ʊ̯ɔ	diphthong	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ʊ̯ɔ				
w̥	devoiced voiced labialized-velar approximant consonant	w̥	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=w̥				
ɥ	voiced labialized-palatal approximant consonant	ɥ	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɥ				
ɥ̊	devoiced voiced labialized-palatal approximant consonant	ɥ̥	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɥ̊				
œ̃	nasalized rounded open-mid front vowel	œ̃	vowel		+		eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=œ̃				
əy	from unrounded mid central to rounded close front diphthong	əy	diphthong	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=əy				
t̪̻	voiceless laminal dental stop consonant	t̪̻	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=t̪̻				
d̪̻	voiced laminal dental stop consonant	d̪̻	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=d̪̻				
s̪̻	voiceless laminal dental sibilant fricative consonant	s̪̻	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=s̪̻				
z̪̻	voiced laminal dental sibilant fricative consonant	z̪̻	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=z̪̻				
