CLTS_NAME	BIPA_GRAPHEME	WIKIPEDIA_URL
unrounded open front vowel	a	https://en.wikipedia.org/wiki/Open_front_unrounded_vowel
unrounded open centralized vowel	ä	https://en.wikipedia.org/wiki/Open_central_unrounded_vowel
voiced bilabial stop consonant	b	https://en.wikipedia.org/wiki/voiced_bilabial_plosive
voiced labio-dental affricate consonant	bv	https://en.wikipedia.org/wiki/voiced_labiodental_affricate
voiced labiodental plosive consonant	b̪	https://en.wikipedia.org/wiki/Voiced_labiodental_stop
voiced bilabial affricate consonant	bβ	https://en.wikipedia.org/wiki/voiced_bilabial_affricate
voiceless palatal stop consonant	c	https://en.wikipedia.org/wiki/voiceless_palatal_plosive
voiceless palatal affricate consonant	cç	https://en.wikipedia.org/wiki/voiceless_palatal_affricate
voiceless palatal affricate consonant	cç	https://en.wikipedia.org/wiki/Voiceless_palatal_affricate
from voiceless palatal plosive to voiced palatal lateral approximant cluster	cʎ̝̥ʼ	https://en.wikipedia.org/wiki/Palatal_lateral_ejective_affricate
voiceless palatal ejective stop consonant	cʼ	https://en.wikipedia.org/wiki/Palatal_ejective
voiced alveolar stop consonant	d	https://en.wikipedia.org/wiki/voiced_alveolar_plosive
voiced alveolar sibilant affricate consonant	dz	https://en.wikipedia.org/wiki/Voiced_alveolar_sibilant_affricate
voiced dental affricate consonant	dð	https://en.wikipedia.org/wiki/voiced_dental_affricate
voiced alveolar lateral affricate consonant	dɮ	https://en.wikipedia.org/wiki/Voiced_alveolar_lateral_affricate
pharyngealized voiced alveolar stop consonant	dˤ	https://en.wikipedia.org/wiki/pharyngealized_voiced_alveolar_plosive
from voiced post-alveolar stop to voiced alveolo-palatal sibilant fricative cluster	d̠ʑ	https://en.wikipedia.org/wiki/Voiced_alveolo-palatal_affricate
voiced post-alveolar sibilant affricate consonant	d̠ʒ	https://en.wikipedia.org/wiki/Voiced_palato-alveolar_affricate
voiced dental stop consonant	d̪	https://en.wikipedia.org/wiki/voiced_dental_plosive
voiced linguo-labial plosive consonant	d̼	https://en.wikipedia.org/wiki/Voiced_linguolabial_stop
unrounded close-mid front vowel	e	https://en.wikipedia.org/wiki/Close-mid_front_unrounded_vowel
unrounded mid front vowel	e̞	https://en.wikipedia.org/wiki/Mid_front_unrounded_vowel
voiceless labio-dental fricative consonant	f	https://en.wikipedia.org/wiki/voiceless_labiodental_fricative
voiceless labio-dental ejective fricative consonant	fʼ	https://en.wikipedia.org/wiki/Labiodental_ejective_fricative
voiced velar stop consonant	g	https://en.wikipedia.org/wiki/voiced_velar_plosive
voiced velar affricate consonant	gɣ	https://en.wikipedia.org/wiki/voiced_velar_affricate
labialized voiced velar stop consonant	gʷ	https://en.wikipedia.org/wiki/labialized_voiced_velar_plosive
voiceless glottal fricative consonant	h	https://en.wikipedia.org/wiki/voiceless_glottal_fricative
unrounded close front vowel	i	https://en.wikipedia.org/wiki/Close_front_unrounded_vowel
voiced palatal approximant consonant	j	https://en.wikipedia.org/wiki/voiced_palatal_approximant
nasalized voiced palatal approximant consonant	j̃	https://en.wikipedia.org/wiki/nasalized_palatal_approximant
devoiced voiced palatal approximant consonant	j̊	https://en.wikipedia.org/wiki/Voiceless_palatal_approximant
voiceless velar stop consonant	k	https://en.wikipedia.org/wiki/voiceless_velar_plosive
voiceless velar affricate consonant	kx	https://en.wikipedia.org/wiki/voiceless_velar_affricate
from voiceless velar plosive to voiceless velar fricative cluster	kxʼ 	https://en.wikipedia.org/wiki/Velar_ejective_affricate
from voiceless velar plosive to voiced velar lateral approximant cluster	kʟ̝̊ʼ	https://en.wikipedia.org/wiki/Velar_lateral_ejective_affricate
labialized voiceless velar stop consonant	kʷ	https://en.wikipedia.org/wiki/labialized_voiceless_velar_plosive
velar ejective stop consonant	kʼ 	https://en.wikipedia.org/wiki/Velar_ejective
voiced alveolar lateral approximant consonant	l	https://en.wikipedia.org/wiki/Alveolar_lateral_approximant
velarized voiced alveolar lateral approximant consonant	lˠ	https://en.wikipedia.org/wiki/Velarized_alveolar_lateral_approximant
devoiced voiced alveolar lateral approximant consonant	l̥	https://en.wikipedia.org/wiki/Voiceless_alveolar_lateral_approximant
voiced bilabial nasal consonant	m	https://en.wikipedia.org/wiki/Bilabial_nasal
devoiced voiced bilabial nasal consonant	m̥	https://en.wikipedia.org/wiki/Voiceless_bilabial_nasal
voiced alveolar nasal consonant	n	https://en.wikipedia.org/wiki/Dental,_alveolar_and_postalveolar_nasals#Alveolar
devoiced voiced alveolar nasal consonant	n̥	https://en.wikipedia.org/wiki/Voiceless_alveolar_nasal
voiced dental nasal consonant	n̪	https://en.wikipedia.org/wiki/voiced_dental_nasal
voiced linguo-labial nasal consonant	n̼	https://en.wikipedia.org/wiki/Linguolabial_nasal
rounded close-mid back vowel	o	https://en.wikipedia.org/wiki/Close-mid_back_rounded_vowel
rounded mid back vowel	o̞	https://en.wikipedia.org/wiki/Mid_back_rounded_vowel
voiceless bilabial stop consonant	p	https://en.wikipedia.org/wiki/voiceless_bilabial_plosive
voiceless labio-dental affricate consonant	pf	https://en.wikipedia.org/wiki/voiceless_labiodental_affricate
voiceless bilabial affricate consonant	pɸ	https://en.wikipedia.org/wiki/voiceless_bilabial_affricate
voiceless bilabial ejective stop consonant	pʼ	https://en.wikipedia.org/wiki/Bilabial_ejective
unreleased voiceless bilabial stop consonant	p̚	https://en.wikipedia.org/wiki/unreleased_voiceless_bilabial_plosive
voiceless labiodental plosive consonant	p̪	https://en.wikipedia.org/wiki/Voiceless_labiodental_stop
voiceless uvular stop consonant	q	https://en.wikipedia.org/wiki/voiceless_uvular_plosive
labialized voiceless uvular stop consonant	qʷ	https://en.wikipedia.org/wiki/labialized_voiceless_uvular_plosive
uvular ejective stop consonant	qʼ 	https://en.wikipedia.org/wiki/Uvular_ejective
voiceless uvular affricate consonant	qχ	https://en.wikipedia.org/wiki/voiceless_uvular_affricate
voiceless uvular ejective affricate consonant	qχʼ	https://en.wikipedia.org/wiki/Uvular_ejective_affricate
voiced alveolar trill consonant	r	https://en.wikipedia.org/wiki/voiced_alveolar_trill
devoiced voiced alveolar trill consonant	r̥	https://en.wikipedia.org/wiki/Voiceless_alveolar_trill
voiced dental trill consonant	r̪	https://en.wikipedia.org/wiki/voiced_dental_trill
voiced linguo-labial trill consonant	r̼	https://en.wikipedia.org/wiki/Linguolabial_trill
voiceless alveolar sibilant fricative consonant	s	https://en.wikipedia.org/wiki/Voiceless_alveolar_fricative#Voiceless_alveolar_sibilant
voiceless alveolar ejective sibilant fricative consonant	sʼ	https://en.wikipedia.org/wiki/Alveolar_ejective_fricative
voiceless alveolar stop consonant	t	https://en.wikipedia.org/wiki/voiceless_alveolar_plosive
voiceless alveolar sibilant affricate consonant	ts	https://en.wikipedia.org/wiki/Voiceless_alveolar_sibilant_affricate
from voiceless alveolar plosive to voicelesss alveolar sibilant fricative cluster	tsʼ 	https://en.wikipedia.org/wiki/Alveolar_ejective_affricate
from voiceless alveolar plosive to voiceless alveolar lateral fricative cluster	tɬ 	https://en.wikipedia.org/wiki/Voiceless_alveolar_lateral_affricate
voiceless alveolar ejective lateral affricate consonant	tɬʼ	https://en.wikipedia.org/wiki/Alveolar_lateral_ejective_affricate
labialized voiceless alveolar stop consonant	tʷ	https://en.wikipedia.org/wiki/labialized_voiceless_alveolar_plosive
voiceless alveolar ejective stop consonant	tʼ	https://en.wikipedia.org/wiki/Alveolar_ejective
pharyngealized voiceless alveolar stop consonant	tˤ	https://en.wikipedia.org/wiki/pharyngealized_voiceless_alveolar_plosive
from voiceless post-alveolar stop to voiceless alveolo-palatal sibilant fricative cluster	t̠ɕ	https://en.wikipedia.org/wiki/Voiceless_alveolo-palatal_affricate
voiceless post-alveolar sibilant affricate consonant	t̠ʃ	https://en.wikipedia.org/wiki/Voiceless_palato-alveolar_affricate
